timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1656028800,-27.3669670044,-37.4211232704,-202.7954873244,-114.0661431759,-21.0412119996,-22.766877212399997,-147.47937653190002,-297.59099151,-22.4792902656,-21.0412119996,-143.6525749884,-493.8040757559
1656032400,-27.0795331584,-36.7512108636,-202.1385619056,-113.35479297239999,-21.3288467904,-22.766877212399997,-145.4008364991,-296.10665452439997,-22.4792902656,-21.3288467904,-142.2820615959,-491.9036413431
1656036000,-26.792089743600002,-36.08124636,-201.48158439,-112.6433829639,-21.3288467904,-22.766877212399997,-143.3217818775,-295.0396191975,-22.4792902656,-21.3288467904,-140.5331510016,-490.41011394839995
1656039600,-26.4567269991,-35.12406384,-200.87148719189997,-112.31137116,-21.0412119996,-22.766877212399997,-140.8640538879,-293.55481440389997,-22.4792902656,-21.0412119996,-138.78387652709998,-488.9162970975
1656043200,-26.1692628519,-34.789024839899994,-200.1674730684,-111.5998734375,-21.0412119996,-22.766877212399997,-139.1621288679,-292.4410321911,-22.4792902656,-21.0412119996,-137.0815304799,-487.78442496
1656046800,-26.1692628519,-34.166775,-199.46339913990002,-110.9357549391,-21.0412119996,-22.766877212399997,-137.0815304799,-290.9557510839,-22.4792902656,-21.0412119996,-135.3315380796,-487.01465701589996
1656050400,-26.1692628519,-33.8316987879,-199.13481084,-110.55623526389999,-21.3288467904,-23.1023832231,-135.6626456319,-290.9557510839,-22.766877212399997,-21.3288467904,-134.29082955360002,-488.14664211839994
1656054000,-25.8338759196,-33.5444802399,-198.4306491975,-110.55623526389999,-21.3288467904,-23.1023832231,-134.29082955360002,-291.6984256599,-22.766877212399997,-21.3288467904,-133.24999238040002,-490.04800311
1656057600,-25.8338759196,-32.9221405596,-198.4306491975,-111.26782070040001,-21.3288467904,-23.3899494375,-132.8714742396,-293.1835706775,-22.766877212399997,-21.3288467904,-132.5402569119,-493.03490878559995
1656061200,-25.8338759196,-32.9221405596,-199.46339913990002,-113.0228090775,-21.3288467904,-23.3899494375,-132.20902656,-296.8488570396,-23.1023832231,-21.6164720124,-132.20902656,-499.4121465039
1656064800,-25.8338759196,-32.5870159719,-200.87148719189997,-115.8205513116,-21.3288467904,-23.3899494375,-132.20902656,-297.9620332284,-23.1023832231,-21.6164720124,-132.20902656,-511.7896807911
1656068400,-25.54639104,-32.2997559591,-203.1239304975,-118.61736829590001,-21.6164720124,-23.3899494375,-132.5402569119,-310.1505575391,-23.1023832231,-21.9040876656,-132.5402569119,-524.5077652839
1656072000,-25.54639104,-32.2997559591,-205.4226680316,-121.7449145991,-21.6164720124,-23.3899494375,-133.5811817991,-317.1402234624,-22.766877212399997,-21.9040876656,-133.5811817991,-537.5646010479
1656075600,-25.54639104,-32.2997559591,-208.04901519,-124.5397713084,-21.6164720124,-23.3899494375,-135.3315380796,-324.1700577216,-22.4792902656,-21.9040876656,-135.3315380796,-549.4763012544
1656079200,-25.54639104,-32.0124863775,-211.33077696,-126.95491882709999,-21.6164720124,-23.3899494375,-137.41256919,-329.2998069375,-22.4792902656,-21.6164720124,-136.7031845775,-557.6912211951001
1656082800,-25.2588965916,-32.2997559591,-214.61123631,-129.4167103671,-21.6164720124,-23.3899494375,-136.7031845775,-331.5170625759,-22.4792902656,-21.9040876656,-137.74359487590002,-561.0105738975
1656086400,-25.2588965916,-32.0124863775,-217.23466604759997,-130.78932039,-21.3288467904,-23.3899494375,-133.5811817991,-332.6254607439,-22.766877212399997,-21.9040876656,-138.4528917744,-561.7729223004
1656090000,-24.9234743079,-32.2997559591,-219.20169133439998,-131.4992033775,-21.3288467904,-23.1023832231,-131.1206065599,-332.2560116991,-22.766877212399997,-21.9040876656,-138.78387652709998,-560.2929993471
1656093600,-24.9234743079,-32.2997559591,-220.9341584775,-132.20902656,-21.3288467904,-23.1023832231,-129.03801998790001,-330.7780454079,-22.766877212399997,-21.9040876656,-138.78387652709998,-556.9284615996
1656097200,-24.6359591271,-32.0124863775,-222.4322149959,-131.4992033775,-21.3288467904,-23.1023832231,-126.6234689244,-328.5605856351,-22.766877212399997,-21.6164720124,-138.1218939975,-551.7216986844
1656100800,-24.6359591271,-32.0124863775,-223.1811411879,-131.1206065599,-21.3288467904,-23.1023832231,-124.16086191,-325.9727752239,-22.4792902656,-21.6164720124,-137.41256919,-546.1069591719
1656104400,-24.3005126556,-32.0124863775,-223.1811411879,-130.0793775975,-21.0412119996,-22.766877212399997,-122.0765561436,-324.1700577216,-22.4792902656,-21.3288467904,-136.3721179584,-541.2974430396
1656108000,-24.3005126556,-32.2997559591,-223.5555787671,-129.03801998790001,-21.0412119996,-23.1023832231,-120.3234461751,-321.9507734976,-22.4792902656,-21.6164720124,-135.3315380796,-537.5646010479
