timestamp,z60_y0_x0,z60_y0_x25,z60_y0_x50,z60_y0_x80,z40_y0_x0,z40_y0_x25,z40_y0_x50,z40_y0_x80,z20_y0_x0,z20_y0_x25,z20_y0_x50,z20_y0_x80
1657688400,-193.2649698,-123.4977295,-257.6047996,-271.3431444,-21.61647201,-28.6124031,-97.64244464,-418.5631317,-23.10238322,-21.041212,-26.16926285,-796.482864
1657692000,-193.9225985,-123.4977295,-255.4138423,-268.7369662,-21.61647201,-28.6124031,-97.30984489,-416.0044806,-23.10238322,-20.75356764,-26.16926285,-798.4802818
1657695600,-193.9225985,-123.4977295,-253.1756629,-267.2473472,-21.61647201,-28.6124031,-97.30984489,-414.1763623,-23.38994944,-21.041212,-26.456727,-802.0828954
1657699200,-194.298363,-123.4977295,-250.9368711,-266.1765155,-21.61647201,-28.94768212,-97.30984489,-414.54202,-23.72543126,-21.32884679,-26.456727,-808.0687298
1657702800,-194.298363,-124.1608619,-250.1904711,-267.6197775,-21.90408767,-28.94768212,-97.30984489,-417.8321735,-23.72543126,-21.32884679,-26.456727,-818.0338718
1657706400,-195.6603665,-125.9131753,-251.6832031,-271.3431444,-21.90408767,-28.94768212,-97.64244464,-425.4581975,-24.01297674,-21.61647201,-26.456727,-832.7824009
1657710000,-198.4306492,-128.706652,-255.7868127,-277.2504957,-21.90408767,-23.38994944,-98.35511454,-437.0884237,-22.47929027,-21.32884679,-26.456727,-849.4830249
1657713600,-201.8100797,-133.2499924,-262.0781219,-283.9434084,-21.90408767,-23.38994944,-99.40025555,-448.6558591,-22.76687721,-21.32884679,-26.456727,-863.3482938
1657717200,-206.4076459,-137.7435949,-268.364587,-290.5843883,-21.90408767,-23.38994944,-100.7777449,-457.7520086,-23.72543126,-21.32884679,-26.456727,-876.0267572
1657720800,-210.6745288,-142.6128956,-273.20419,-296.1066545,-21.90408767,-23.38994944,-101.8225876,-463.5225444,-23.72543126,-21.61647201,-26.456727,-885.8956131
1657724400,-214.6112363,-146.8180787,-277.2504957,-300.5588489,-21.90408767,-23.72543126,-102.8673018,-467.836284,-23.72543126,-21.61647201,-26.456727,-893.395106
1657728000,-218.8738863,-150.9739425,-280.225804,-303.8963872,-21.90408767,-24.30051266,-103.9118873,-470.0149455,-23.72543126,-21.32884679,-26.456727,-897.71968
1657731600,-223.5555788,-154.4198584,-282.8283057,-306.4449673,-21.90408767,-24.92347431,-105.3361147,-470.7410299,-23.72543126,-21.32884679,-26.16926285,-900.8864587
1657735200,-228.0475028,-157.2038787,-283.2000236,-307.556823,-21.61647201,-25.54639104,-106.0481387,-468.9256913,-23.72543126,-21.61647201,-26.16926285,-900.5013877
1657738800,-232.2097026,-158.9493177,-282.0848189,-306.8156029,-21.61647201,-26.456727,-106.3803961,-464.9758614,-23.38994944,-21.32884679,-25.83387592,-894.9796706
1657742400,-235.5753348,-159.9869738,-279.85395,-304.6378752,-21.61647201,-27.07953316,-106.7126405,-459.8880609,-23.10238322,-21.041212,-25.83387592,-887.867697
1657746000,-238.6125694,-160.3642713,-276.8785056,-302.0423694,-21.61647201,-27.366967,-107.0923324,-454.1148247,-23.10238322,-21.041212,-25.83387592,-880.7483991
1657749600,-240.8547294,-160.3642713,-273.20419,-298.7040656,-21.32884679,-27.7022944,-107.4245489,-448.6558591,-23.10238322,-21.041212,-25.83387592,-873.2351843
1657753200,-242.7227283,-159.9869738,-269.4816736,-295.364384,-21.32884679,-27.98970751,-107.0923324,-443.2386051,-23.10238322,-21.041212,-25.83387592,-866.9177932
1657756800,-244.2168212,-159.2794949,-265.8040193,-292.0697374,-21.61647201,-28.32501072,-107.4245489,-437.8175872,-23.10238322,-21.041212,-25.54639104,-862.5739439
1657760400,-245.3372123,-158.6191274,-262.0781219,-288.3558542,-21.61647201,-28.32501072,-107.4245489,-433.8063462,-23.10238322,-21.041212,-25.54639104,-859.0022163
1657764000,-246.4574502,-157.911533,-258.3505234,-285.4299739,-21.61647201,-28.6124031,-107.0923324,-428.0137674,-23.10238322,-21.041212,-25.54639104,-856.2038017
1657767600,-247.2041905,-157.2038787,-255.0408549,-282.0848189,-21.32884679,-28.6124031,-106.7126405,-423.9974976,-23.10238322,-21.041212,-25.54639104,-855.8162404
