timestamp,precipitation
1655463600,0
1655467200,0
1655470800,0
1655474400,0
1655478000,0
1655481600,0
1655485200,0
1655488800,0
1655492400,0
1655496000,0
1655499600,0
1655503200,0
1655506800,0
1655510400,0
1655514000,0
1655517600,0
1655521200,0
1655524800,0
1655528400,0
1655532000,0
1655535600,0
1655539200,0
1655542800,0
1655546400,0
1655550000,0
1655553600,0
1655557200,0
1655560800,0
1655564400,0
1655568000,0
1655571600,0
1655575200,0
1655578800,0
1655582400,0
1655586000,0
1655589600,0
1655593200,0
1655596800,0
1655600400,0
1655604000,0
1655607600,0
1655611200,0
1655614800,0
1655618400,0
1655622000,0
1655625600,0
1655629200,0
1655632800,0
1655636400,0
1655640000,0
1655643600,0
1655647200,0
1655650800,0
1655654400,0
1655658000,0
1655661600,0
1655665200,0
1655668800,0
1655672400,0
1655676000,0
1655679600,0
1655683200,0
1655686800,0
1655690400,0
1655694000,0
1655697600,0
1655701200,0
1655704800,0
1655708400,0
1655712000,0
1655715600,0
1655719200,0
1655722800,0
1655726400,0
1655730000,0
1655733600,0
1655737200,0
1655740800,0
1655744400,0
1655748000,0
1655751600,0
1655755200,0
1655758800,0
1655762400,0
1655766000,0
1655769600,0
1655773200,0
1655776800,0
1655780400,0
1655784000,0
1655787600,0
1655791200,0
1655794800,0
1655798400,0
1655802000,0
1655805600,0
1655809200,0
1655812800,0
1655816400,0
1655820000,0
1655823600,0
1655827200,0
1655830800,0
1655834400,0
1655838000,0
1655841600,0
1655845200,0
1655848800,0
1655852400,0
1655856000,0
1655859600,0
1655863200,0
1655866800,0
1655870400,0
1655874000,0
1655877600,0
1655881200,0
1655884800,0
1655888400,0
1655892000,0
1655895600,0
1655899200,0
1655902800,0
1655906400,0
1655910000,0
1655913600,0
1655917200,0
1655920800,0
1655924400,0
1655928000,0
1655931600,0
1655935200,0
1655938800,0
1655942400,0
1655946000,0
1655949600,0
1655953200,0
1655956800,0
1655960400,0
1655964000,0
1655967600,0
1655971200,0
1655974800,0
1655978400,0
1655982000,0
1655985600,0
1655989200,0
1655992800,0
1655996400,0
1656000000,0
1656003600,0
1656007200,0
1656010800,0
1656014400,0
1656018000,0
1656021600,0
1656025200,0
1656028800,0
1656032400,0
1656036000,0
1656039600,0
1656043200,0
1656046800,0
1656050400,0
1656054000,0
1656057600,0
1656061200,0
1656064800,0
1656068400,0
1656072000,0
1656075600,0
1656079200,0
1656082800,0
1656086400,0
1656090000,0
1656093600,0
1656097200,0
1656100800,0
1656104400,0
1656108000,0
1656111600,0
1656115200,0
1656118800,0
1656122400,0
1656126000,0
1656129600,0
1656133200,0
1656136800,0
1656140400,0
1656144000,0
1656147600,0
1656151200,0
1656154800,0
1656158400,0
1656162000,0
1656165600,0
1656169200,0
1656172800,0
1656176400,0
1656180000,0
1656183600,0
1656187200,0
1656190800,0
1656194400,0
1656198000,0
1656201600,0
1656205200,0
1656208800,0
1656212400,0
1656216000,0
1656219600,0
1656223200,0
1656226800,0
1656230400,0
1656234000,0
1656237600,0
1656241200,0
1656244800,0
1656248400,0
1656252000,0
1656255600,0
1656259200,0
1656262800,0
1656266400,0
1656270000,0
1656273600,0
1656277200,0
1656280800,0
1656284400,0
1656288000,0
1656291600,0
1656295200,0
1656298800,0
1656302400,0
1656306000,0
1656309600,0
1656313200,0
1656316800,0
1656320400,0
1656324000,0
1656327600,0
1656331200,0
1656334800,0
1656338400,0
1656342000,0
1656345600,0
1656349200,0
1656352800,0
1656356400,0
1656360000,0
1656363600,0
1656367200,0
1656370800,0
1656374400,0
1656378000,0
1656381600,0
1656385200,0
1656388800,0
1656392400,0
1656396000,0
1656399600,0
1656403200,0
1656406800,0
1656410400,0
1656414000,0
1656417600,0
1656421200,0.2
1656424800,0
1656428400,1.4
1656432000,0
1656435600,0
1656439200,0
1656442800,0
1656446400,0
1656450000,0
1656453600,0
1656457200,0
1656460800,0
1656464400,0
1656468000,0
1656471600,0
1656475200,0
1656478800,0
1656482400,0
1656486000,0
1656489600,0
1656493200,0
1656496800,0
1656500400,0
1656504000,0
1656507600,0
1656511200,0
1656514800,0
1656518400,0
1656522000,0
1656525600,0
1656529200,0
1656532800,0
1656536400,0
1656540000,0
1656543600,0
1656547200,0
1656550800,0
1656554400,0
1656558000,0
1656561600,0
1656565200,0
1656568800,0
1656572400,0
1656576000,0
1656579600,0
1656583200,0
1656586800,0
1656590400,0
1656594000,0
1656597600,0
1656601200,0
1656604800,0
1656608400,0
1656612000,0
1656615600,0
1656619200,0
1656622800,0
1656626400,0
1656630000,0
1656633600,0
1656637200,0
1656640800,0
1656644400,0
1656648000,0
1656651600,0
1656655200,0
1656658800,0
1656662400,0
1656666000,0
1656669600,0
1656673200,0
1656676800,0
1656680400,0
1656684000,0
1656687600,0
1656691200,0
1656694800,0
1656698400,0
1656702000,0
1656705600,0
1656709200,0
1656712800,0
1656716400,0
1656720000,0
1656723600,0
1656727200,0
1656730800,0
1656734400,0
1656738000,0
1656741600,0
1656745200,0
1656748800,0
1656752400,0
1656756000,0
1656759600,0
1656763200,0
1656766800,0
1656770400,0
1656774000,0
1656777600,0
1656781200,0
1656784800,0
1656788400,0
1656792000,0
1656795600,0
1656799200,0
1656802800,0
1656806400,0
1656810000,0
1656813600,0
1656817200,0
1656820800,0
1656824400,0
1656828000,0
1656831600,0
1656835200,0
1656838800,0
1656842400,0
1656846000,0
1656849600,0
1656853200,0
1656856800,0
1656860400,0
1656864000,0
1656867600,0
1656871200,0
1656874800,0
1656878400,0
1656882000,0
1656885600,0
1656889200,0
1656892800,0
1656896400,0
1656900000,0
1656903600,0
1656907200,0
1656910800,0
1656914400,0
1656918000,0
1656921600,0
1656925200,0
1656928800,0
1656932400,0
1656936000,0
1656939600,0
1656943200,0
1656946800,0
1656950400,0
1656954000,0
1656957600,0
1656961200,0
1656964800,0
1656968400,0
1656972000,0
1656975600,0
1656979200,0
1656982800,0
1656986400,0
1656990000,0
1656993600,0
1656997200,0
1657000800,0
1657004400,0
1657008000,0
1657011600,0
1657015200,0
1657018800,0
1657022400,0
1657026000,0
1657029600,0
1657033200,0
1657036800,0
1657040400,0
1657044000,0
1657047600,0
1657051200,0
1657054800,0
